user_id,Channel,TotalTransactionAmount,Tx_Count,DaysSinceLastTrans,reseller_id,superdealer_id,Product_ServiceProvider,Product_Type,Product_Category
1180,8.0,247400,159,30,1130.0,18.0,Jos Electric,Prepaid,Electricity
922,1.0,19400,60,30,0.0,447.0,Glo,Airtime,Telco
1572,1.0,42530,112,30,0.0,447.0,Airtel,Airtime,Telco
1572,2.0,21600,25,30,0.0,447.0,Airtel,Data,Telco
1572,1.0,66050,184,30,0.0,447.0,MTN,Airtime,Telco
1176,8.0,24000,22,30,1130.0,18.0,Jos Electric,Prepaid,Electricity
1572,2.0,9000,34,30,0.0,447.0,MTN,Data,Telco
1768,1.0,49400,135,30,0.0,447.0,Airtel,Airtime,Telco
1273,1.0,910500,186,30,0.0,18.0,MTN,Airtime,Telco
951,1.0,3990,12,30,0.0,447.0,Airtel,Airtime,Telco
1199,8.0,71200,29,30,1130.0,18.0,Jos Electric,Postpaid,Electricity
503,1.0,305458,141,30,0.0,18.0,MTN,Airtime,Telco
1168,1.0,34600,155,30,1130.0,18.0,MTN,Airtime,Telco
1191,1.0,3989,40,30,1130.0,18.0,MTN,Airtime,Telco
1199,1.0,9250,53,30,1130.0,18.0,MTN,Airtime,Telco
1176,1.0,11750,76,30,1130.0,18.0,9mobile,Airtime,Telco
1285,1.0,1004300,578,31,0.0,18.0,9mobile,Airtime,Telco
1303,1.0,90000,30,31,0.0,18.0,MTN,Airtime,Telco
1180,2.0,1500,3,31,1130.0,18.0,,,
1644,1.0,3500,10,31,1130.0,18.0,MTN,Airtime,Telco
949,1.0,11050,37,31,0.0,447.0,Airtel,Airtime,Telco
1176,1.0,292408,676,31,1130.0,18.0,MTN,Airtime,Telco
922,1.0,17700,44,31,0.0,447.0,Airtel,Airtime,Telco
919,1.0,35000,101,31,0.0,447.0,Airtel,Airtime,Telco
919,1.0,6700,23,31,0.0,447.0,9mobile,Airtime,Telco
1273,1.0,578000,153,31,0.0,18.0,Airtel,Airtime,Telco
1176,1.0,21800,76,31,1130.0,18.0,Glo,Airtime,Telco
1176,1.0,58804,178,31,1130.0,18.0,Airtel,Airtime,Telco
1884,8.0,126500,50,31,1130.0,18.0,Jos Electric,Prepaid,Electricity
915,1.0,3700,3,31,0.0,501.0,Airtel,Airtime,Telco
1884,1.0,15300,24,31,1130.0,18.0,MTN,Airtime,Telco
1183,1.0,11100,31,31,1130.0,18.0,Glo,Airtime,Telco
1437,2.0,35850,26,31,0.0,447.0,Airtel,Data,Telco
2060,1.0,3495,6,31,0.0,447.0,MTN,Airtime,Telco
1572,2.0,3000,14,31,0.0,447.0,,,
1172,1.0,5214,33,31,1130.0,18.0,MTN,Airtime,Telco
1768,1.0,13200,26,31,0.0,447.0,Glo,Airtime,Telco
1768,1.0,7500,14,31,0.0,447.0,9mobile,Airtime,Telco
1199,1.0,1450,13,31,1130.0,18.0,Glo,Airtime,Telco
1172,8.0,39500,18,31,1130.0,18.0,Jos Electric,Prepaid,Electricity
798,1.0,157050,137,31,0.0,447.0,MTN,Airtime,Telco
1191,8.0,161300,44,31,1130.0,18.0,Jos Electric,Prepaid,Electricity
1284,1.0,100,1,31,0.0,501.0,MTN,Airtime,Telco
1180,2.0,4100,4,32,1130.0,18.0,9mobile,Data,Telco
1183,2.0,3500,6,32,1130.0,18.0,Glo,Data,Telco
1768,2.0,8000,9,32,0.0,447.0,Airtel,Data,Telco
1119,1.0,700,2,32,0.0,447.0,Glo,Airtime,Telco
1198,8.0,219450,160,32,1130.0,18.0,Jos Electric,Prepaid,Electricity
1304,2.0,18000,3,33,0.0,18.0,MTN,Data,Telco
1144,1.0,6028,17,33,0.0,447.0,MTN,Airtime,Telco
1144,1.0,4700,5,33,0.0,447.0,Glo,Airtime,Telco
1768,2.0,3800,29,33,0.0,447.0,MTN,Data,Telco
949,1.0,20766,73,33,0.0,447.0,MTN,Airtime,Telco
707,1.0,59300,108,33,553.0,501.0,MTN,Airtime,Telco
1572,2.0,11000,55,33,0.0,447.0,9mobile,Data,Telco
1211,1.0,4702,19,33,0.0,501.0,MTN,Airtime,Telco
1285,2.0,34000,14,33,0.0,18.0,9mobile,Data,Telco
1287,1.0,504835,66,33,0.0,18.0,Airtel,Airtime,Telco
1287,1.0,68600,18,33,0.0,18.0,9mobile,Airtime,Telco
798,1.0,8000,2,33,0.0,447.0,9mobile,Airtime,Telco
1172,8.0,32100,9,33,1130.0,18.0,Jos Electric,Postpaid,Electricity
917,1.0,32900,63,34,0.0,18.0,MTN,Airtime,Telco
1199,1.0,5050,26,34,1130.0,18.0,Airtel,Airtime,Telco
1119,2.0,5700,9,34,0.0,447.0,MTN,Data,Telco
917,1.0,20200,25,34,0.0,18.0,Glo,Airtime,Telco
1273,2.0,327500,79,34,0.0,18.0,Airtel,Data,Telco
1273,2.0,48000,9,34,0.0,18.0,MTN,Data,Telco
1009,1.0,2000,10,34,0.0,18.0,9mobile,Airtime,Telco
1488,1.0,23008,63,34,0.0,447.0,MTN,Airtime,Telco
1488,1.0,2100,8,34,0.0,447.0,Glo,Airtime,Telco
1488,1.0,24400,65,34,0.0,447.0,Airtel,Airtime,Telco
678,1.0,562,8,34,0.0,741.0,MTN,Airtime,Telco
1503,1.0,4003,4,34,0.0,447.0,MTN,Airtime,Telco
1025,1.0,47193,45,34,0.0,447.0,MTN,Airtime,Telco
919,2.0,200,1,34,0.0,447.0,Glo,Data,Telco
1884,1.0,1400,3,34,1130.0,18.0,Glo,Airtime,Telco
1285,2.0,177500,97,35,0.0,18.0,MTN,Data,Telco
1025,2.0,4000,4,35,0.0,447.0,9mobile,Data,Telco
1172,1.0,700,3,35,1130.0,18.0,Airtel,Airtime,Telco
1572,2.0,500,1,35,0.0,447.0,Glo,Data,Telco
1523,1.0,10100,38,35,0.0,447.0,MTN,Airtime,Telco
1073,1.0,152962,552,36,0.0,447.0,MTN,Airtime,Telco
904,1.0,71100,19,36,0.0,501.0,Airtel,Airtime,Telco
1073,1.0,74820,243,36,0.0,447.0,Airtel,Airtime,Telco
1073,1.0,20450,84,36,0.0,447.0,9mobile,Airtime,Telco
1973,1.0,975,2,36,0.0,447.0,MTN,Airtime,Telco
1073,1.0,32100,69,36,0.0,447.0,Glo,Airtime,Telco
949,1.0,3000,15,36,0.0,447.0,Glo,Airtime,Telco
1732,1.0,1050,4,36,0.0,447.0,MTN,Airtime,Telco
813,1.0,690,5,36,0.0,447.0,Airtel,Airtime,Telco
1130,8.0,80300,42,36,0.0,18.0,Jos Electric,Prepaid,Electricity
907,1.0,2400,9,36,0.0,501.0,9mobile,Airtime,Telco
707,2.0,31500,24,36,553.0,501.0,Airtel,Data,Telco
503,1.0,9500,11,36,0.0,18.0,Airtel,Airtime,Telco
1572,1.0,5100,16,37,0.0,447.0,Glo,Airtime,Telco
1065,1.0,12100,23,37,0.0,447.0,MTN,Airtime,Telco
464,1.0,440,5,37,0.0,501.0,Glo,Airtime,Telco
769,1.0,41805,79,37,0.0,18.0,MTN,Airtime,Telco
1111,1.0,2500,10,37,0.0,447.0,Glo,Airtime,Telco
1111,1.0,19400,48,37,0.0,447.0,MTN,Airtime,Telco
1199,8.0,15000,8,37,1130.0,18.0,Jos Electric,Prepaid,Electricity
1432,1.0,430,4,37,0.0,447.0,MTN,Airtime,Telco
1303,1.0,40000,9,37,0.0,18.0,Airtel,Airtime,Telco
1936,1.0,380,4,37,0.0,447.0,MTN,Airtime,Telco
1535,1.0,850,3,37,0.0,447.0,MTN,Airtime,Telco
1303,1.0,5000,1,37,0.0,18.0,Glo,Airtime,Telco
1303,1.0,5000,1,37,0.0,18.0,9mobile,Airtime,Telco
1268,1.0,125,1,37,0.0,447.0,MTN,Airtime,Telco
2253,1.0,400,2,37,0.0,447.0,Airtel,Airtime,Telco
1070,1.0,53675,247,37,0.0,447.0,MTN,Airtime,Telco
1559,1.0,811,8,37,0.0,447.0,MTN,Airtime,Telco
1405,1.0,30594,108,37,0.0,447.0,MTN,Airtime,Telco
919,2.0,4200,9,37,0.0,447.0,9mobile,Data,Telco
1405,2.0,2200,3,37,0.0,447.0,MTN,Data,Telco
1009,2.0,13100,20,37,0.0,18.0,MTN,Data,Telco
1179,8.0,67500,27,37,1130.0,18.0,Jos Electric,Prepaid,Electricity
1070,2.0,4800,14,38,0.0,447.0,MTN,Data,Telco
1304,1.0,1060000,411,38,0.0,18.0,MTN,Airtime,Telco
1086,1.0,25250,62,38,0.0,447.0,MTN,Airtime,Telco
1086,1.0,13400,46,38,0.0,447.0,Airtel,Airtime,Telco
1180,1.0,800,3,38,1130.0,18.0,Glo,Airtime,Telco
1086,1.0,3650,15,38,0.0,447.0,9mobile,Airtime,Telco
503,6.0,380700,23,38,0.0,18.0,DSTV,Pay TV,Cable TV
1070,1.0,43850,187,38,0.0,447.0,Airtel,Airtime,Telco
1405,1.0,19000,70,38,0.0,447.0,Airtel,Airtime,Telco
2096,1.0,1346,4,38,0.0,447.0,Airtel,Airtime,Telco
2260,1.0,24068,74,38,0.0,447.0,MTN,Airtime,Telco
707,1.0,11500,19,38,553.0,501.0,Airtel,Airtime,Telco
1405,1.0,3200,22,38,0.0,447.0,Glo,Airtime,Telco
1103,1.0,890,4,38,0.0,447.0,MTN,Airtime,Telco
1069,1.0,20901,36,38,0.0,447.0,Airtel,Airtime,Telco
1103,1.0,1000,2,38,0.0,447.0,Airtel,Airtime,Telco
1183,2.0,2000,8,38,1130.0,18.0,,,
1617,1.0,1600,8,38,0.0,447.0,9mobile,Airtime,Telco
1644,8.0,31250,20,38,1130.0,18.0,Jos Electric,Prepaid,Electricity
1160,1.0,20800,73,38,0.0,447.0,MTN,Airtime,Telco
748,1.0,600,6,38,0.0,447.0,MTN,Airtime,Telco
1686,1.0,13475,25,38,0.0,447.0,MTN,Airtime,Telco
1437,2.0,38300,47,39,0.0,447.0,MTN,Data,Telco
1070,1.0,5300,27,39,0.0,447.0,9mobile,Airtime,Telco
1168,1.0,3700,16,39,1130.0,18.0,Airtel,Airtime,Telco
1070,2.0,6650,31,39,0.0,447.0,Airtel,Data,Telco
1070,1.0,5400,32,39,0.0,447.0,Glo,Airtime,Telco
1884,1.0,900,3,39,1130.0,18.0,Airtel,Airtime,Telco
1686,1.0,6800,19,40,0.0,447.0,Airtel,Airtime,Telco
1572,1.0,6350,22,40,0.0,447.0,9mobile,Airtime,Telco
1686,1.0,3800,10,40,0.0,447.0,Glo,Airtime,Telco
1025,1.0,500,3,40,0.0,447.0,9mobile,Airtime,Telco
1025,2.0,1000,6,40,0.0,447.0,,,
2096,1.0,9350,21,40,0.0,447.0,MTN,Airtime,Telco
904,2.0,4000,3,40,0.0,501.0,MTN,Data,Telco
2076,1.0,12400,35,40,0.0,447.0,Airtel,Airtime,Telco
1503,1.0,6700,8,40,0.0,447.0,Airtel,Airtime,Telco
1574,1.0,1059,4,40,0.0,447.0,9mobile,Airtime,Telco
1574,1.0,14275,27,40,0.0,447.0,Airtel,Airtime,Telco
1574,1.0,28150,45,40,0.0,447.0,MTN,Airtime,Telco
929,6.0,2460,1,40,0.0,501.0,GOTV,Pay TV,Cable TV
1516,1.0,675,1,40,0.0,447.0,Airtel,Airtime,Telco
1009,2.0,500,1,40,0.0,18.0,Glo,Data,Telco
1180,1.0,2350,4,40,1130.0,18.0,9mobile,Airtime,Telco
1686,2.0,2500,2,41,0.0,447.0,MTN,Data,Telco
1523,1.0,2200,12,41,0.0,447.0,9mobile,Airtime,Telco
816,1.0,6000,18,41,0.0,447.0,Airtel,Airtime,Telco
1426,1.0,8000,10,41,0.0,447.0,Airtel,Airtime,Telco
2076,1.0,27550,57,41,0.0,447.0,MTN,Airtime,Telco
1065,2.0,2000,1,41,0.0,447.0,MTN,Data,Telco
1611,1.0,1875,7,41,0.0,447.0,MTN,Airtime,Telco
798,1.0,24700,27,41,0.0,447.0,Airtel,Airtime,Telco
769,1.0,1300,5,41,0.0,18.0,9mobile,Airtime,Telco
1065,1.0,2000,1,42,0.0,447.0,Glo,Airtime,Telco
1076,1.0,1900,9,42,0.0,447.0,Airtel,Airtime,Telco
1076,1.0,9008,38,42,0.0,447.0,MTN,Airtime,Telco
1573,1.0,6091,5,42,0.0,447.0,Glo,Airtime,Telco
1573,1.0,16525,22,42,0.0,447.0,MTN,Airtime,Telco
1405,2.0,100,1,42,0.0,447.0,Airtel,Data,Telco
1518,1.0,10900,23,42,0.0,447.0,MTN,Airtime,Telco
978,1.0,3400,10,42,0.0,501.0,9mobile,Airtime,Telco
978,1.0,500,1,42,0.0,501.0,Airtel,Airtime,Telco
923,1.0,3780,17,42,0.0,447.0,MTN,Airtime,Telco
923,1.0,2200,12,42,0.0,447.0,Airtel,Airtime,Telco
943,1.0,200,1,42,0.0,447.0,Airtel,Airtime,Telco
943,1.0,3240,12,42,0.0,447.0,MTN,Airtime,Telco
1478,1.0,3025,2,42,0.0,447.0,Airtel,Airtime,Telco
813,1.0,9600,51,42,0.0,447.0,MTN,Airtime,Telco
552,8.0,39000,4,42,0.0,501.0,Ibadan Electric,Prepaid,Electricity
1305,1.0,11750,38,42,0.0,447.0,Glo,Airtime,Telco
920,1.0,38000,98,42,0.0,447.0,MTN,Airtime,Telco
1009,1.0,6100,10,42,0.0,18.0,Airtel,Airtime,Telco
769,1.0,3700,8,42,0.0,18.0,Airtel,Airtime,Telco
1009,2.0,5500,7,42,0.0,18.0,,,
2260,1.0,300,2,42,0.0,447.0,Glo,Airtime,Telco
1183,2.0,7800,17,42,1130.0,18.0,MTN,Data,Telco
2209,1.0,6900,14,43,0.0,447.0,Glo,Airtime,Telco
1518,1.0,1900,4,43,0.0,447.0,Airtel,Airtime,Telco
904,1.0,16500,30,43,0.0,501.0,MTN,Airtime,Telco
1024,1.0,32700,27,43,0.0,447.0,9mobile,Airtime,Telco
1073,2.0,900,5,43,0.0,447.0,MTN,Data,Telco
1160,1.0,14100,40,43,0.0,447.0,Airtel,Airtime,Telco
1686,1.0,1400,6,43,0.0,447.0,9mobile,Airtime,Telco
1273,1.0,52500,27,43,0.0,18.0,Glo,Airtime,Telco
2260,1.0,7100,22,43,0.0,447.0,Airtel,Airtime,Telco
2209,1.0,9300,40,43,0.0,447.0,Airtel,Airtime,Telco
448,1.0,53,2,43,0.0,741.0,Glo,Airtime,Telco
1586,1.0,8450,14,43,0.0,447.0,MTN,Airtime,Telco
1931,1.0,159,1,43,0.0,447.0,MTN,Airtime,Telco
1931,2.0,500,1,43,0.0,447.0,Airtel,Data,Telco
1591,1.0,4910,9,43,0.0,447.0,Airtel,Airtime,Telco
1584,1.0,1900,11,43,0.0,447.0,MTN,Airtime,Telco
1592,1.0,10830,34,43,0.0,447.0,MTN,Airtime,Telco
1285,1.0,63000,18,43,0.0,18.0,Glo,Airtime,Telco
1705,1.0,50,1,43,0.0,447.0,MTN,Airtime,Telco
919,1.0,1500,8,43,0.0,447.0,Glo,Airtime,Telco
1069,1.0,6200,18,43,0.0,447.0,MTN,Airtime,Telco
1507,1.0,21408,69,43,0.0,447.0,MTN,Airtime,Telco
812,1.0,3800,13,43,0.0,447.0,Airtel,Airtime,Telco
812,1.0,700,4,43,0.0,447.0,9mobile,Airtime,Telco
1073,2.0,1000,8,43,0.0,447.0,Airtel,Data,Telco
1111,1.0,200,1,44,0.0,447.0,9mobile,Airtime,Telco
2076,1.0,3500,13,44,0.0,447.0,9mobile,Airtime,Telco
2209,1.0,5900,21,44,0.0,447.0,MTN,Airtime,Telco
1024,1.0,24800,39,44,0.0,447.0,Airtel,Airtime,Telco
1930,1.0,36600,67,44,0.0,447.0,MTN,Airtime,Telco
1523,1.0,600,1,44,0.0,447.0,Glo,Airtime,Telco
1930,1.0,200,1,44,0.0,447.0,Glo,Airtime,Telco
1119,1.0,1200,3,44,0.0,447.0,Glo,Airtime,Telco
1160,1.0,100,1,44,0.0,447.0,Glo,Airtime,Telco
1405,1.0,100,1,44,0.0,447.0,Glo,Airtime,Telco
1273,1.0,25000,8,44,0.0,18.0,Glo,Airtime,Telco
1273,1.0,46500,13,44,0.0,18.0,9mobile,Airtime,Telco
1070,1.0,200,1,44,0.0,447.0,Glo,Airtime,Telco
1591,1.0,2900,9,44,0.0,447.0,MTN,Airtime,Telco
1287,1.0,22400,4,44,0.0,18.0,Glo,Airtime,Telco
1705,1.0,500,5,44,0.0,447.0,9mobile,Airtime,Telco
748,1.0,200,2,44,0.0,447.0,Airtel,Airtime,Telco
816,1.0,35500,83,44,0.0,447.0,MTN,Airtime,Telco
1086,2.0,3500,6,44,0.0,447.0,MTN,Data,Telco
1073,1.0,100,1,44,0.0,447.0,Glo,Airtime,Telco
1540,1.0,7025,29,44,0.0,447.0,MTN,Airtime,Telco
917,2.0,600,2,44,0.0,18.0,9mobile,Data,Telco
1287,1.0,68320,5,44,0.0,18.0,Glo,Airtime,Telco
2233,1.0,900,8,44,0.0,447.0,Glo,Airtime,Telco
1273,2.0,9000,7,44,0.0,18.0,9mobile,Data,Telco
2096,2.0,500,1,44,0.0,447.0,MTN,Data,Telco
1086,2.0,8100,8,44,0.0,447.0,,,
1285,1.0,47000,17,44,0.0,18.0,Glo,Airtime,Telco
1086,2.0,6500,11,44,0.0,447.0,,,
2233,1.0,8500,26,44,0.0,447.0,Airtel,Airtime,Telco
917,1.0,8100,9,44,0.0,18.0,Glo,Airtime,Telco
2233,1.0,1600,6,44,0.0,447.0,9mobile,Airtime,Telco
2233,1.0,11310,36,44,0.0,447.0,MTN,Airtime,Telco
1305,1.0,3000,6,44,0.0,447.0,Glo,Airtime,Telco
1705,1.0,200,2,44,0.0,447.0,Airtel,Airtime,Telco
1451,1.0,18470,37,44,0.0,447.0,MTN,Airtime,Telco
1409,1.0,370,1,44,0.0,447.0,MTN,Airtime,Telco
1523,1.0,1200,2,44,0.0,447.0,Glo,Airtime,Telco
758,1.0,600,2,44,0.0,447.0,Airtel,Airtime,Telco
1073,2.0,5700,12,44,0.0,447.0,,,
1437,2.0,11850,38,45,0.0,447.0,,,
1070,1.0,300,3,45,0.0,447.0,Glo,Airtime,Telco
927,1.0,6400,15,45,0.0,447.0,Airtel,Airtime,Telco
1625,1.0,125,5,45,0.0,447.0,MTN,Airtime,Telco
2233,2.0,1000,2,45,0.0,447.0,,,
1218,1.0,11200,20,45,0.0,447.0,Airtel,Airtime,Telco
927,2.0,2500,5,45,0.0,447.0,,,
1437,1.0,1300,4,45,0.0,447.0,Glo,Airtime,Telco
1405,2.0,2000,4,45,0.0,447.0,,,
1572,2.0,1200,5,45,0.0,447.0,MTN,Data,Telco
1265,1.0,31590,72,45,0.0,447.0,MTN,Airtime,Telco
464,1.0,50,1,45,0.0,501.0,Glo,Airtime,Telco
1107,1.0,9675,14,45,0.0,447.0,MTN,Airtime,Telco
809,1.0,2200,11,45,0.0,447.0,Airtel,Airtime,Telco
2230,1.0,1100,3,45,0.0,447.0,9mobile,Airtime,Telco
2230,1.0,475,1,45,0.0,447.0,Glo,Airtime,Telco
2076,1.0,200,1,45,0.0,447.0,Glo,Airtime,Telco
927,1.0,200,2,45,0.0,447.0,Glo,Airtime,Telco
1273,2.0,173000,28,45,0.0,18.0,MTN,Data,Telco
1686,2.0,200,1,45,0.0,447.0,MTN,Data,Telco
1518,1.0,500,3,45,0.0,447.0,9mobile,Airtime,Telco
1073,1.0,5800,14,45,0.0,447.0,Glo,Airtime,Telco
1930,1.0,20900,76,45,0.0,447.0,Airtel,Airtime,Telco
1548,1.0,22100,54,45,0.0,447.0,MTN,Airtime,Telco
1548,1.0,17209,66,45,0.0,447.0,Airtel,Airtime,Telco
1945,1.0,690,4,45,0.0,447.0,Airtel,Airtime,Telco
1945,1.0,8701,25,45,0.0,447.0,MTN,Airtime,Telco
1416,1.0,13860,37,45,0.0,447.0,Airtel,Airtime,Telco
1507,1.0,9200,48,45,0.0,447.0,Airtel,Airtime,Telco
1168,1.0,400,3,45,1130.0,18.0,9mobile,Airtime,Telco
1332,1.0,3220,13,45,0.0,447.0,MTN,Airtime,Telco
1269,1.0,5850,21,45,0.0,447.0,Airtel,Airtime,Telco
1006,2.0,1600,5,45,0.0,447.0,,,
1265,2.0,2000,4,45,0.0,447.0,,,
1405,2.0,100,1,45,0.0,447.0,MTN,Data,Telco
2096,2.0,1500,3,45,0.0,447.0,,,
812,1.0,28500,38,45,0.0,447.0,MTN,Airtime,Telco
1476,1.0,2800,11,45,0.0,447.0,Airtel,Airtime,Telco
1918,1.0,7445,31,45,0.0,447.0,MTN,Airtime,Telco
1768,2.0,400,4,45,0.0,447.0,MTN,Data,Telco
1285,1.0,92500,32,45,0.0,18.0,,,
1686,1.0,300,1,45,0.0,447.0,Glo,Airtime,Telco
803,1.0,2070,2,45,0.0,447.0,MTN,Airtime,Telco
2114,1.0,570,4,45,0.0,447.0,MTN,Airtime,Telco
1374,1.0,2800,8,45,0.0,447.0,MTN,Airtime,Telco
1006,1.0,29340,87,45,0.0,447.0,MTN,Airtime,Telco
1273,1.0,30500,13,45,0.0,18.0,Glo,Airtime,Telco
919,1.0,16400,84,45,0.0,447.0,Glo,Airtime,Telco
503,1.0,10000,1,45,0.0,18.0,Glo,Airtime,Telco
503,2.0,42000,5,45,0.0,18.0,,,
2173,2.0,4000,4,45,0.0,447.0,,,
2173,1.0,24900,71,45,0.0,447.0,MTN,Airtime,Telco
1024,1.0,70600,91,46,0.0,447.0,MTN,Airtime,Telco
1183,1.0,11800,19,46,1130.0,18.0,MTN,Airtime,Telco
1572,2.0,3900,9,46,0.0,447.0,,,
1374,2.0,7600,8,46,0.0,447.0,,,
1500,1.0,100,1,46,0.0,447.0,Airtel,Airtime,Telco
1540,1.0,1200,5,46,0.0,447.0,Airtel,Airtime,Telco
1070,2.0,3200,10,46,0.0,447.0,,,
1006,1.0,26555,69,46,0.0,447.0,Airtel,Airtime,Telco
1768,2.0,14000,23,46,0.0,447.0,,,
1426,1.0,500,1,46,0.0,447.0,9mobile,Airtime,Telco
1426,2.0,3200,6,46,0.0,447.0,,,
1265,1.0,16150,41,46,0.0,447.0,Airtel,Airtime,Telco
1451,1.0,3200,4,46,0.0,447.0,9mobile,Airtime,Telco
1183,2.0,6000,10,46,1130.0,18.0,,,
1959,1.0,20300,88,46,0.0,447.0,MTN,Airtime,Telco
1437,2.0,6400,19,46,0.0,447.0,,,
1548,1.0,6000,15,46,0.0,447.0,9mobile,Airtime,Telco
1768,2.0,2200,12,46,0.0,447.0,,,
1611,1.0,2000,9,46,0.0,447.0,Glo,Airtime,Telco
927,1.0,1800,8,47,0.0,447.0,Glo,Airtime,Telco
927,1.0,400,2,47,0.0,447.0,9mobile,Airtime,Telco
1959,1.0,7900,37,47,0.0,447.0,Airtel,Airtime,Telco
1160,1.0,2400,14,47,0.0,447.0,Glo,Airtime,Telco
1426,1.0,8200,9,47,0.0,447.0,MTN,Airtime,Telco
915,1.0,2700,4,47,0.0,501.0,MTN,Airtime,Telco
1686,2.0,2800,6,47,0.0,447.0,,,
920,1.0,9100,26,47,0.0,447.0,9mobile,Airtime,Telco
920,1.0,8600,20,47,0.0,447.0,Airtel,Airtime,Telco
1148,1.0,28500,35,47,0.0,447.0,MTN,Airtime,Telco
1930,1.0,4600,8,47,0.0,447.0,Glo,Airtime,Telco
1009,2.0,500,1,47,0.0,18.0,,,
915,2.0,4500,3,48,0.0,501.0,MTN,Data,Telco
809,2.0,2000,4,48,0.0,447.0,,,
2146,1.0,2475,10,48,0.0,447.0,Airtel,Airtime,Telco
1930,1.0,400,3,48,0.0,447.0,9mobile,Airtime,Telco
1024,2.0,51800,33,48,0.0,447.0,MTN,Data,Telco
923,1.0,400,2,48,0.0,447.0,9mobile,Airtime,Telco
2173,2.0,9900,19,48,0.0,447.0,MTN,Data,Telco
1265,1.0,2000,7,48,0.0,447.0,9mobile,Airtime,Telco
1437,1.0,4100,19,48,0.0,447.0,9mobile,Airtime,Telco
920,1.0,13100,26,48,0.0,447.0,Glo,Airtime,Telco
1586,1.0,1600,4,48,0.0,447.0,Glo,Airtime,Telco
1073,2.0,1400,5,48,0.0,447.0,,,
1472,1.0,1200,4,48,0.0,447.0,MTN,Airtime,Telco
1437,2.0,4200,22,49,0.0,447.0,Glo,Data,Telco
1070,2.0,600,3,49,0.0,447.0,9mobile,Data,Telco
1120,1.0,20900,40,49,0.0,447.0,Airtel,Airtime,Telco
1265,2.0,10000,13,49,0.0,447.0,MTN,Data,Telco
2119,1.0,975,2,49,0.0,447.0,MTN,Airtime,Telco
1265,1.0,8600,19,49,0.0,447.0,Glo,Airtime,Telco
503,2.0,11000,8,49,0.0,18.0,MTN,Data,Telco
1935,1.0,100,1,49,0.0,447.0,Airtel,Airtime,Telco
1935,1.0,500,3,49,0.0,447.0,MTN,Airtime,Telco
2234,1.0,8023,22,49,0.0,447.0,MTN,Airtime,Telco
1770,1.0,700,5,49,0.0,447.0,Airtel,Airtime,Telco
1770,1.0,200,1,49,0.0,447.0,Glo,Airtime,Telco
1770,1.0,100,1,49,0.0,447.0,MTN,Airtime,Telco
1022,1.0,670,2,49,0.0,447.0,MTN,Airtime,Telco
1572,2.0,1500,2,49,0.0,447.0,Glo,Data,Telco
919,2.0,3800,11,49,0.0,447.0,Airtel,Data,Telco
1082,1.0,8000,23,49,0.0,447.0,MTN,Airtime,Telco
1622,1.0,18155,22,49,0.0,447.0,MTN,Airtime,Telco
448,1.0,1944,72,49,0.0,741.0,MTN,Airtime,Telco
1130,1.0,1700,6,49,0.0,18.0,Airtel,Airtime,Telco
1006,1.0,2000,10,49,0.0,447.0,9mobile,Airtime,Telco
2283,1.0,789,2,50,0.0,447.0,MTN,Airtime,Telco
1024,2.0,500,1,50,0.0,447.0,Glo,Data,Telco
927,1.0,14600,40,50,0.0,447.0,MTN,Airtime,Telco
1024,2.0,1000,1,50,0.0,447.0,9mobile,Data,Telco
